assignment_id,employee_id,team_id,assignment_start,assignment_end,is_primary,assignment_type,note
TA-0001-1,EMP-0001,ORG-CEO,2015-01-05,,TRUE,STANDARD,대표
TA-0002-1,EMP-0002,ORG-CEO,2016-04-11,,TRUE,STANDARD,대표실 Chief of Staff
TA-0003-1,EMP-0003,ORG-CEO,2018-07-02,,TRUE,STANDARD,Executive Assistant
TA-0004-1,EMP-0004,ORG-CEO,2021-05-17,,TRUE,STANDARD,대표실 전략 프로젝트 담당
TA-0005-1,EMP-0005,DIV-PRODUCT,2016-03-07,,TRUE,STANDARD,Product본부 총괄
TA-0009-1,EMP-0009,DIV-PRODUCT,2018-02-12,,TRUE,STANDARD,본부 직속 이사
TA-0010-1,EMP-0010,DIV-PRODUCT,2018-08-20,,TRUE,STANDARD,본부 직속 이사
TA-0017-1,EMP-0017,DIV-PRODUCT,2022-05-16,,TRUE,STANDARD,본부 coordinator
TA-0006-1,EMP-0006,DIV-PLATFORM,2015-11-02,,TRUE,STANDARD,Platform본부 총괄
TA-0011-1,EMP-0011,DIV-PLATFORM,2019-04-08,,TRUE,STANDARD,본부 직속 이사
TA-0012-1,EMP-0012,DIV-PLATFORM,2020-01-13,,TRUE,STANDARD,본부 직속 이사
TA-0018-1,EMP-0018,DIV-PLATFORM,2023-03-06,,TRUE,STANDARD,본부 coordinator
TA-0007-1,EMP-0007,DIV-GROWTH,2017-06-19,,TRUE,STANDARD,Growth본부 총괄
TA-0013-1,EMP-0013,DIV-GROWTH,2019-09-30,,TRUE,STANDARD,본부 직속 이사
TA-0014-1,EMP-0014,DIV-GROWTH,2021-02-15,,TRUE,STANDARD,본부 직속 이사
TA-0019-1,EMP-0019,DIV-GROWTH,2023-09-04,,TRUE,STANDARD,본부 coordinator
TA-0008-1,EMP-0008,DIV-CORP,2016-10-10,,TRUE,STANDARD,Corporate본부 총괄
TA-0015-1,EMP-0015,DIV-CORP,2018-12-03,,TRUE,STANDARD,본부 직속 이사
TA-0016-1,EMP-0016,DIV-CORP,2020-06-22,,TRUE,STANDARD,본부 직속 이사
TA-0020-1,EMP-0020,DIV-CORP,2024-02-19,,TRUE,STANDARD,본부 coordinator
TA-0021-1,EMP-0021,TEAM-PM,2017-01-01,,TRUE,STANDARD,
TA-0022-1,EMP-0022,TEAM-PM,2018-03-04,,TRUE,STANDARD,
TA-0023-1,EMP-0023,TEAM-PM,2019-05-07,,TRUE,STANDARD,
TA-0024-1,EMP-0024,TEAM-PM,2020-07-10,,TRUE,STANDARD,
TA-0025-1,EMP-0025,TEAM-PM,2021-09-13,,TRUE,STANDARD,
TA-0026-1,EMP-0026,TEAM-PM,2022-11-16,,TRUE,STANDARD,
TA-0027-1,EMP-0027,TEAM-PM,2023-01-19,,TRUE,STANDARD,
TA-0028-1,EMP-0028,TEAM-PM,2024-03-22,,TRUE,STANDARD,
TA-0029-1,EMP-0029,TEAM-PM,2025-05-25,,TRUE,STANDARD,
TA-0030-1,EMP-0030,TEAM-PM,2017-07-02,,TRUE,STANDARD,
TA-0031-1,EMP-0031,TEAM-PM,2018-09-05,,TRUE,STANDARD,
TA-0032-1,EMP-0032,TEAM-DESIGN,2020-02-06,,TRUE,STANDARD,
TA-0033-1,EMP-0033,TEAM-DESIGN,2021-04-09,,TRUE,STANDARD,
TA-0034-1,EMP-0034,TEAM-DESIGN,2022-06-12,,TRUE,STANDARD,
TA-0035-1,EMP-0035,TEAM-DESIGN,2023-08-15,,TRUE,STANDARD,
TA-0036-1,EMP-0036,TEAM-DESIGN,2024-10-18,,TRUE,STANDARD,
TA-0037-1,EMP-0037,TEAM-DESIGN,2025-12-21,,TRUE,STANDARD,
TA-0038-1,EMP-0038,TEAM-DESIGN,2017-02-24,,TRUE,STANDARD,
TA-0039-1,EMP-0039,TEAM-GTM,2023-03-11,,TRUE,STANDARD,
TA-0040-1,EMP-0040,TEAM-GTM,2024-05-14,,TRUE,STANDARD,
TA-0041-1,EMP-0041,TEAM-GTM,2025-07-17,,TRUE,STANDARD,
TA-0042-1,EMP-0042,TEAM-GTM,2017-09-20,,TRUE,STANDARD,
TA-0043-1,EMP-0043,TEAM-GTM,2018-11-23,,TRUE,STANDARD,
TA-0044-1,EMP-0044,TEAM-GTM,2019-01-26,,TRUE,STANDARD,
TA-0045-1,EMP-0045,TEAM-GTM,2020-03-03,,TRUE,STANDARD,
TA-0046-1,EMP-0046,TEAM-GTM,2021-05-06,,TRUE,STANDARD,
TA-0047-1,EMP-0047,TEAM-GTM,2022-07-09,,TRUE,STANDARD,
TA-0048-1,EMP-0048,TEAM-GTM,2023-09-12,,TRUE,STANDARD,
TA-0049-1,EMP-0049,TEAM-CONTENT,2017-04-16,,TRUE,STANDARD,
TA-0050-1,EMP-0050,TEAM-CONTENT,2018-06-19,,TRUE,STANDARD,
TA-0051-1,EMP-0051,TEAM-CONTENT,2019-08-22,,TRUE,STANDARD,
